Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Burkina Faso;BFA;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;389391;397620;;;;;445230;454783;464062;472263;481794;490294;499377;511121;520981;531864;546526;564996;583796;;615485;632446;646036;658163;666874;;;689701;697750;699156;701906;721578;714186;705697;671354;647199;603476;544598;517592;577583;528618;527864;527902;533023;530932;461561;459926;440020;470347;522928;539690;606933;799663;659756;
Bangladesh;BGD;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;3271051;;;2657768;;;2721192;2759668;2936530;;;3287341;;3757054;3605092;3764133;3855732;3978240;3097138;3159547;2943562;;;;;;;;;;;;;;;384392;414833;;1075896;838631;993602;;;;;;;54511;189119;;;;;;;
Bulgaria;BGR;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3270;3810;;;;;;;;1102;931;1530;2924;4307;3336;3167;3832;4091;4968;5374;5223;6092;6211;6566;;
Bahrein;BHR;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;6534;6340;6401;6470;5608;5565;5228;5304;5184;5281;6321;7570;7047;5873;4208;2835;2337;1604;1647;;3051;5235;5312;5043;4154;3664;3150;1515;789;1524;2016;3274;4157;4193;4314;1717;;;;;2678;16;;;573;658;714;1376;1514;;;1669;3719;2504;
Bahamas;BHS;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;1077;943;;;632;;;;;;;;;;;;;14;;;;;;2683;;;;;2209;1445;1614;957;796;896;982;;318;;;;;;;;;;;4234;2319;
Bosnia y Herzegovina;BIH;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9675;9021;8860;9791;9032;7577;5678;3289;830;;;633;169;413;738;;
Belarús;BLR;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52545;;;;;;;;;;;;;;;;;;700;3937;5462;5105;7148;8907;11865;13201;12938;16368;14689;12179;
Belice;BLZ;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;332;263;;;;;;;225;306;252;422;;;;;;;;;;741;1669;2377;2317;
Bermudas;BMU;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;416;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;
Bolivia;BOL;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8265;27047;43987;66563;74397;78810;78733;72735;62618;50541;41292;33501;27246;21648;27126;;
