Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Bangladesh;BGD;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.9129715635;;;6.4;;;;;;;4.224495;;;;;;;;;;;;
Bulgaria;BGR;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahrein;BHR;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahamas;BHS;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bosnia y Herzegovina;BIH;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;;;;;;9.5;;;;;;;;;;;;;;;;;;;
Belarús;BLR;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.2;;;;;;;2.6;;;;;;;;;;;;;
Belice;BLZ;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bermudas;BMU;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.5;;;20.1;;;31.1;18.4;;;;20.52219;;12.59;;;;;;;;;;
Brasil;BRA;Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad);SL.TLF.0714.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.60644;;;4;3.5;3.3;;2.59;;2.071282;2.20961609178223;1.53;;;;;;;;;;
