Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Aruba;ABW;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFE;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afganistán;AFG;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFW;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;22.1;;;;;;;;;;39.3;;;;;;;
Albania;ALB;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;4.2;;;2.7;;;0.8;;;;1.8;;3.7;1.1;1.1;1.4;1;0.3;0.3;;;;;
Andorra;AND;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El mundo árabe;ARB;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emiratos Árabes Unidos;ARE;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;
Argentina;ARG;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;0;;;;;;1.3;1.5;;;;1.3;2.5;2.9;2.7;5.1;5.4;5.2;5.7;5.9;7.3;10.7;17.1;8.2;6;4.4;3.5;2.8;2.6;2.4;1.5;1.2;1.3;1.1;1.1;;1.3;1.1;1.6;1.7;2.2;1.4;1.3;1.2;1;
Armenia;ARM;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.6;;;21.2;;24.1;19.8;14.8;10.3;6.1;4.5;3.7;2;3.1;2.9;3.1;2.5;2.9;3.4;2.9;2.5;2.4;2.9;2.4;1.5;2.1;1.9;1.9;;
Samoa Americana;ASM;Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
