iso_code,year,value
CUB,2000,0.697
CUB,2010,0.783
CUB,2015,0.769
CUB,2020,0.762
CUB,2021,0.745
CUB,2022,0.764
CUB,2023,0.762
CYP,1990,0.749
CYP,2000,0.808
CYP,2010,0.869
CYP,2015,0.882
CYP,2020,0.905
CYP,2021,0.907
CYP,2022,0.908
CYP,2023,0.913
DEU,1990,0.834
DEU,2000,0.897
DEU,2010,0.936
DEU,2015,0.948
DEU,2020,0.955
DEU,2021,0.958
DEU,2022,0.955
DEU,2023,0.959
DMA,2000,0.721
DMA,2010,0.747
DMA,2015,0.741
DMA,2020,0.753
DMA,2021,0.749
DMA,2022,0.759
DMA,2023,0.761
DNK,1990,0.844
DNK,2000,0.896
DNK,2010,0.92
DNK,2015,0.943
DNK,2020,0.954
DNK,2021,0.958
DNK,2022,0.959
DNK,2023,0.962
DZA,1990,0.595
DZA,2000,0.651
DZA,2010,0.718
DZA,2015,0.737
DZA,2020,0.742
DZA,2021,0.755
DZA,2022,0.761
DZA,2023,0.763
ECU,1990,0.646
ECU,2000,0.683
ECU,2010,0.737
ECU,2015,0.764
ECU,2020,0.74
ECU,2021,0.753
ECU,2022,0.773
ECU,2023,0.777
EGY,1990,0.572
EGY,2000,0.639
EGY,2010,0.677
EGY,2015,0.706
EGY,2020,0.736
EGY,2021,0.738
EGY,2022,0.751
EGY,2023,0.754
ERI,2010,0.465
ERI,2015,0.48
ERI,2020,0.495
ERI,2021,0.496
ERI,2022,0.499
ERI,2023,0.503
ESP,1990,0.766
ESP,2000,0.833
ESP,2010,0.875
ESP,2015,0.895
ESP,2020,0.901
ESP,2021,0.912
ESP,2022,0.911
ESP,2023,0.918
EST,1990,0.738
EST,2000,0.793
EST,2010,0.868
EST,2015,0.888
EST,2020,0.901
EST,2021,0.899
EST,2022,0.902
EST,2023,0.905
ETH,2000,0.293
ETH,2010,0.415
ETH,2015,0.456
ETH,2020,0.486
ETH,2021,0.487
ETH,2022,0.494
ETH,2023,0.497
FIN,1990,0.823
FIN,2000,0.898
FIN,2010,0.92
FIN,2015,0.938
FIN,2020,0.947
FIN,2021,0.949
FIN,2022,0.946
FIN,2023,0.948
FJI,1990,0.629
FJI,2000,0.668
FJI,2010,0.697
FJI,2015,0.715
FJI,2020,0.718
FJI,2021,0.705
FJI,2022,0.726
FJI,2023,0.731
FRA,1990,0.798
FRA,2000,0.852
FRA,2010,0.888
FRA,2015,0.901
FRA,2020,0.909
FRA,2021,0.915
FRA,2022,0.916
FRA,2023,0.92
GAB,1990,0.621
GAB,2000,0.652
GAB,2010,0.684
GAB,2015,0.72
GAB,2020,0.732
GAB,2021,0.72
GAB,2022,0.73
GAB,2023,0.733
GEO,2000,0.705
GEO,2010,0.77
GEO,2015,0.807
GEO,2020,0.822
GEO,2021,0.819
GEO,2022,0.838
GEO,2023,0.844
GHA,1990,0.432
GHA,2000,0.487
GHA,2010,0.558
GHA,2015,0.588
GHA,2020,0.614
GHA,2021,0.618
GHA,2022,0.625
GHA,2023,0.628
GIN,1990,0.282
GIN,2000,0.359
GIN,2010,0.43
GIN,2015,0.465
GIN,2020,0.488
GIN,2021,0.49
GIN,2022,0.498
GIN,2023,0.5
GMB,1990,0.331
GMB,2000,0.403
GMB,2010,0.463
GMB,2015,0.482
GMB,2020,0.512
GMB,2021,0.513
GMB,2022,0.519
GMB,2023,0.524
GNB,2010,0.452
GNB,2015,0.481
GNB,2020,0.498
GNB,2021,0.502
GNB,2022,0.511
GNB,2023,0.514
GNQ,2000,0.508
GNQ,2010,0.612
GNQ,2015,0.656
GNQ,2020,0.668
GNQ,2021,0.671
GNQ,2022,0.677
GNQ,2023,0.674
GRC,1990,0.77
GRC,2000,0.828
GRC,2010,0.876
GRC,2015,0.888
GRC,2020,0.896
GRC,2021,0.897
GRC,2022,0.897
GRC,2023,0.908
GRD,2010,0.771
GRD,2015,0.782
GRD,2020,0.782
GRD,2021,0.782
GRD,2022,0.789
GRD,2023,0.791
GTM,1990,0.499
GTM,2000,0.563
GTM,2010,0.623
GTM,2015,0.638
GTM,2020,0.645
GTM,2021,0.639
GTM,2022,0.655
GTM,2023,0.662
GUY,1990,0.494
GUY,2000,0.567
GUY,2010,0.647
GUY,2015,0.683
GUY,2020,0.722
GUY,2021,0.713
GUY,2022,0.763
GUY,2023,0.776
HKG,1990,0.755
HKG,2000,0.839
HKG,2010,0.912
HKG,2015,0.937
HKG,2020,0.95
HKG,2021,0.961
HKG,2022,0.95
HKG,2023,0.955
HND,1990,0.516
HND,2000,0.558
HND,2010,0.596
HND,2015,0.61
HND,2020,0.625
HND,2021,0.628
HND,2022,0.643
HND,2023,0.645
HRV,2000,0.769
HRV,2010,0.831
HRV,2015,0.852
HRV,2020,0.867
HRV,2021,0.876
HRV,2022,0.886
HRV,2023,0.889
HTI,1990,0.461
HTI,2000,0.497
HTI,2010,0.452
HTI,2015,0.552
HTI,2020,0.555
HTI,2021,0.548
HTI,2022,0.552
HTI,2023,0.554
HUN,1990,0.73
HUN,2000,0.781
HUN,2010,0.838
HUN,2015,0.847
HUN,2020,0.857
HUN,2021,0.852
HUN,2022,0.867
HUN,2023,0.87
IDN,1990,0.531
IDN,2000,0.6
IDN,2010,0.67
IDN,2015,0.701
IDN,2020,0.71
IDN,2021,0.707
IDN,2022,0.726
IDN,2023,0.728
IND,1990,0.446
IND,2000,0.501
IND,2010,0.59
IND,2015,0.633
IND,2020,0.652
IND,2021,0.647
IND,2022,0.676
IND,2023,0.685
IRL,1990,0.776
IRL,2000,0.869
IRL,2010,0.915
IRL,2015,0.931
IRL,2020,0.948
IRL,2021,0.946
IRL,2022,0.947
IRL,2023,0.949
IRN,1990,0.626
IRN,2000,0.71
IRN,2010,0.778
IRN,2015,0.788
IRN,2020,0.775
IRN,2021,0.777
IRN,2022,0.793
IRN,2023,0.799
IRQ,1990,0.531
IRQ,2000,0.592
IRQ,2010,0.65
IRQ,2015,0.675
IRQ,2020,0.68
IRQ,2021,0.687
IRQ,2022,0.695
IRQ,2023,0.695
ISL,1990,0.841
ISL,2000,0.902
ISL,2010,0.935
ISL,2015,0.956
ISL,2020,0.965
ISL,2021,0.967
ISL,2022,0.964
ISL,2023,0.972
KHM,1990,0.387
KHM,2000,0.438
KHM,2010,0.543
KHM,2015,0.562
KHM,2020,0.595
KHM,2021,0.594
KHM,2022,0.602
KHM,2023,0.606
KOR,1990,0.738
KOR,2000,0.83
KOR,2010,0.894
KOR,2015,0.914
KOR,2020,0.928
KOR,2021,0.933
KOR,2022,0.928
KOR,2023,0.937
PHL,1990,0.593
PHL,2000,0.632
PHL,2010,0.669
PHL,2015,0.69
PHL,2020,0.699
PHL,2021,0.69
PHL,2022,0.714
PHL,2023,0.72
SAU,1990,0.67
SAU,2000,0.737
SAU,2010,0.801
SAU,2015,0.851
SAU,2020,0.875
SAU,2021,0.878
SAU,2022,0.893
SAU,2023,0.9
SLV,1990,0.523
SLV,2000,0.607
SLV,2010,0.66
SLV,2015,0.667
SLV,2020,0.66
SLV,2021,0.663
SLV,2022,0.674
SLV,2023,0.678
SVK,1990,0.698
SVK,2000,0.774
SVK,2010,0.851
SVK,2015,0.861
SVK,2020,0.867
SVK,2021,0.859
SVK,2022,0.873
SVK,2023,0.88
SVN,1990,0.734
SVN,2000,0.829
SVN,2010,0.896
SVN,2015,0.909
SVN,2020,0.918
SVN,2021,0.924
SVN,2022,0.926
SVN,2023,0.931
SWZ,1990,0.57
SWZ,2000,0.493
SWZ,2010,0.534
SWZ,2015,0.607
SWZ,2020,0.657
SWZ,2021,0.658
SWZ,2022,0.695
SWZ,2023,0.695
TCD,2000,0.303
TCD,2010,0.375
TCD,2015,0.396
TCD,2020,0.408
TCD,2021,0.408
TCD,2022,0.414
TCD,2023,0.416
USA,1990,0.878
USA,2000,0.895
USA,2010,0.919
USA,2015,0.928
USA,2020,0.925
USA,2021,0.921
USA,2022,0.93
USA,2023,0.938
