country_code,year,edu_educational_attainment_rate,edu_spending_per_student_primary,edu_spending_per_student_secondary,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_economically_active_children_female,edu_economically_active_children_male,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_literacy_rate,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_tasa_pobreza,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use,elec_private_investment_energy
ABW,1999,,11.59103,18.56215,4.39526987075806,,,,,,,,,,,,,,,,19216.1972354472,,498.105555555556,2.19006066092493,13.953,1.37463665636986,31057.0,,,100.0,100.0,100.0,,,
ABW,2000,90.31999969482422,13.06282,19.20419,4.71468019485474,,,,,,,,11.0,,,,,97.2900009155273,,0.0,20681.0230269625,,503.266666666667,1.03610080269524,14.26,1.05058459642858,31385.0,,,91.7,100.0,100.0,,,
ABW,2001,,12.19509,20.24258,4.79898023605347,110.349670410156,97.5565338134766,,,,,,11.0,88.1275405883789,,,,,,0.0,20740.1325828172,,507.994444444444,-2.83550241253081,13.813,0.989196741138054,31697.0,,,100.0,100.0,100.0,,,
ABW,2002,,13.78319,19.38926,4.87220001220703,115.669448852539,100.163063049316,,,,,,11.0,98.8329696655273,,,,,,0.0,21307.2482505267,,511.522222222222,4.43468813342022,13.337,0.84507987655861,31966.0,,,100.0,100.0,100.0,,,
ABW,2003,,,,,115.985000610352,101.929069519043,,,,,,11.0,97.0246734619141,,,,,,0.0,21949.4859960868,,517.377777777778,3.04904620110997,13.358,1.37941792069942,32410.0,,,100.0,100.0,100.0,,,
ABW,2004,,11.41266,17.7411,4.35698986053467,117.217170715332,100.940940856934,,,,,,11.0,95.4701385498047,,,,,,0.0,23700.6319899197,,528.544444444444,2.80990970893053,12.54,2.45044566311052,33214.0,,,100.0,100.0,100.0,,,
ABW,2005,,12.21276,17.61527,4.62321996688843,116.929039001465,99.2053527832031,,,,,,11.0,94.4293518066406,,,,,,0.0,24171.8371325422,,542.416666666667,5.06749722968669,12.936,2.96342150169134,34213.0,,,100.0,100.0,100.0,,,
ABW,2006,,,,,117.987739562988,99.8657531738281,,,,,,11.0,99.4612808227539,,,,,,0.0,24845.65848362,,552.25,3.48434619543613,13.681,2.21421926159065,34979.0,,,100.0,100.0,100.0,,,
ABW,2007,,,,4.70254993438721,116.970039367676,106.236473083496,,,,,,11.0,97.3307266235352,,,,,,0.0,26736.3089444046,,556.388888888889,5.16689296887391,13.38,1.19639387223475,35400.0,,,100.0,100.0,100.0,,,
ABW,2008,,,,4.82730007171631,116.013900756836,97.0627517700195,,,,,,11.0,100.205062866211,,,,,,0.0,28171.9094008501,,560.65,4.26244900176589,13.07,1.22690591063692,35837.0,,,100.0,100.0,100.0,,,
ABW,2009,,,,5.79739999771118,117.527481079102,99.1602172851562,,,,,,11.0,97.5935821533203,,,,,,0.0,25134.7712303589,,564.466666666667,1.70328044813839,12.332,1.14309154671829,36249.0,,,100.0,100.0,100.0,,,
ABW,2010,91.37999725341795,,,6.75109004974365,119.795837402344,98.2207412719727,100.0,,,,,11.0,99.1608428955078,,100.0,,96.8199996948242,100.0,0.0,24093.1401510626,,565.766666666667,-1.22340655068425,11.941,0.68182707164135,36497.0,,,93.4,100.0,100.0,,,
ABW,2011,,,,5.91466999053955,106.374038696289,96.633918762207,,,,,,11.0,,,,,,,11.0,25712.3843015186,,569.95,4.00567421402882,12.175,1.19024705939866,36934.0,,,100.0,100.0,100.0,,,
ABW,2012,,18.38443,25.09578,6.3472900390625,104.07494354248,108.976188659668,,,,,,11.0,,,,,,,11.0,25119.6655449838,,578.388888888889,0.184032701346126,12.592,1.95190925397688,37662.0,,,100.0,100.0,100.0,,,
ABW,2013,,17.36433,,6.44295978546143,114.985320023488,,,,,,,11.0,94.0547790527344,,,,,,11.0,25813.5714408438,,587.083333333333,-1.99594849465619,12.548,2.005666086121,38425.0,,,100.0,100.0,100.0,,,
ABW,2014,,17.08119,,5.85128021240234,116.261992182873,,,,,,,11.0,101.321281433105,,,,,,11.0,26129.8390617693,,593.372222222222,0.871012206953537,12.864,1.61089783385178,39049.0,,,100.0,100.0,100.0,,,
ABW,2015,,,,5.88826990127563,115.01140867059,,,,,,,11.0,,,,,,,11.0,27458.2201537506,,599.477777777778,2.46455256597713,11.556,1.5979610157403,39678.0,,,100.0,100.0,100.0,,,
ABW,2016,,,,5.49136018753052,113.637463697967,,,,,,,11.0,,,,,,,11.0,27441.5502144601,,604.038888888889,-0.528141045675781,11.625,1.35923693669535,40221.0,,,100.0,100.0,100.0,,,
ABW,2017,,,,4.45581996127504,,,,,,,,11.0,,,,,,,11.0,28440.0416881491,,604.083333333333,0.147649480345706,11.477,0.6295252276165,40475.0,,,100.0,100.0,100.0,,,
ABW,2018,,,,4.54876355243615,107.985168457031,137.829788208008,,,,,,11.0,96.1325988769531,,,,,,11.0,30082.1584226798,,605.044444444444,2.64481426494012,10.807,0.79975818464172,40800.0,,,100.0,100.0,100.0,,,
ABW,2019,,,,4.43503686776957,108.025001525879,139.320587158203,,,,,,11.0,101.90274810791,,,,,,11.0,30645.8906024548,,606.683333333333,0.913616964944026,10.842,0.931918627583878,41182.0,,,100.0,100.0,100.0,,,
ABW,2020,,,,,107.235336303711,135.124725341797,,,,,,11.0,104.266471862793,,,,,,11.0,22759.8071750722,,603.261111111111,-2.96163547245821,9.688,0.189223995715084,41260.0,,,100.0,100.0,100.0,,,
ABW,2021,,,,3.61855755636695,108.599510192871,123.625907897949,,,,,,11.0,95.7777786254883,,,,,,11.0,26749.3296093118,,598.333333333333,1.60214279963571,9.461,-0.622388472195064,41004.0,,,100.0,100.0,100.0,,,
ABW,2022,,,,,102.620727539062,131.802169799805,,,,,,11.0,93.8329391479492,,,,,,11.0,30975.9989121779,,596.166666666667,4.28905985034554,8.527,-0.24173179554936,40905.0,,,99.9,100.0,100.0,,,
ABW,2023,96.48063659667967,,,,,,,,,,,11.0,,,,,,,11.0,35718.7531191634,,596.438888888889,7.10903726756209,7.973,0.166100822282021,40973.0,,,100.0,100.0,100.0,,,
ABW,2024,,,,,107.716996929947,124.379366731084,100.0,,,,,,,97.61904761904762,100.0,100.0,,100.0,,39498.5941293797,,,4.14429063164188,,0.707713595050703,41264.0,,,,,,,,
AFG,1960,,,,,,,,,,,,,,,,,,,,,,,,50.516,,8301167.0,251.2,,,,,,,
AFG,1961,,,,,,,,,,,,,,,,,,,,,,14.127045674072,,50.566,1.6711667341721,8441059.0,248.4,,,,,,,
AFG,1962,,,,,,,,,,,,,,,,,,,,,,14.4188491789706,,50.666,1.74599946065668,8589734.0,245.4,,,,,,,
AFG,1963,,,,,,,,,,,,,,,,,,,,,,14.7256136638916,,50.787,1.7981346668468,8745586.0,242.5,,,,,,,
AFG,1964,,,,,,,,,,,,,,,,,,,,,,15.0473268632231,,50.852,1.84393619319603,8908345.0,239.7,,,,,,,
AFG,1965,,,,,,,,,,,,,,,,,,,,,,15.3872222988823,,50.889,1.90462866458351,9079642.0,236.9,,,,,,,
AFG,1966,,,,,,,,,,,,,,,,,,,,,,15.7404519877957,,51.018,1.92708246309033,9256311.0,234.2,,,,,,,
AFG,1967,,,,,,,,,,,,,,,,,,,,,,16.1077518666728,,51.106,1.94890432417434,9438477.0,231.4,,,,,,,
AFG,1968,,,,,,,,,,,,,,,,,,,,,,16.4925287091977,,51.209,1.98600106972217,9627799.0,228.6,,,,,,,
AFG,1969,,,,,,,,,,,,,,,,,,,,,,16.8919077625991,,51.28,1.99935410692503,9822230.0,225.8,,,,,,,
