country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use
IDN,2023,83.8310823174419,1.27517088245674,98.1566275726904,96.0002120295081,98.90352963561982,,,12.0,99.9521715181012,86.80518295954501,97.8518349608327,92.80875308257038,99.37574524794836,9.0,4876.30774512252,148.57692229227,1.53013198443368,15.941,-0.637335056265888,117768206.0,17.0,0.728,99.4,98.6,100.0,1445.21463483986,14.2176929344015
IND,2023,68.12999725341797,,113.164575709104,79.3250397483992,92.86731600818938,381512.663945101,167190.798423521,8.0,93.8187311671038,38.91407096952953,89.18173332221436,60.71197769274945,96.48307133606772,8.0,2530.12031278204,483.679010086809,2.59194954513768,16.146,0.403749149910514,933771782.0,24.5,0.685,99.5,99.2,100.0,1181.63057248865,12.3336090031733
IRL,2023,99.7002170808258,,,,,,,10.0,,,,,,10.0,106818.917130804,77.0445637973581,3.39258154333999,10.3,1.25567737298501,1906034.0,3.4,0.949,100.0,100.0,100.0,6149.29535006406,47.7612130699697
IRN,2023,86.882754736708,2.82443290958712,,,,,,9.0,,,,,,9.0,5049.29931642754,55.8451198767334,37.2937420604748,12.951,-0.250452491471166,21133614.0,10.7,0.799,100.0,100.0,100.0,,
IRQ,2023,,,,,,,,12.0,,,,,,6.0,5965.31835077761,103.826155759795,-15.5347237850081,25.728,2.2515173398111,13581587.0,20.8,0.695,100.0,100.0,100.0,,
ISL,2023,100.0,,98.2218322753906,108.911361694336,,284.0,315.0,10.0,98.6200180053711,,,,,10.0,82138.7892973557,3.90111078052167,5.28960958581624,11.0,1.41098965290385,22554.0,1.9,0.972,100.0,100.0,100.0,49955.6373602068,4.34270736407973
ISR,2023,96.4078681592566,,96.4853820800781,96.4655990600586,,19239.0,22168.0,12.0,96.2661972045898,,,,,12.0,52003.7200729997,455.129390018484,4.54962642927481,18.6,2.87527016519118,836283.0,2.7,,100.0,100.0,100.0,6772.05807696213,19.3229233444205
ITA,2023,97.9824830570857,,103.566017150879,100.678756713867,,26661.0,25456.0,8.0,97.3619613647461,,,,,12.0,39277.0838783918,199.490988096848,6.19726462122874,6.4,-0.227611021621257,17967681.0,2.3,,100.0,100.0,100.0,5046.67677230406,23.0031911627559
JAM,2023,99.0544601989279,5.65453693979426,87.7375451717876,85.4353132628153,,13101.0,14503.0,6.0,81.0696353400619,98.91304347826086,100.0,,100.0,6.0,7542.40084275345,262.214773776547,11.3335050417508,11.623,-1.08561712535481,1179902.0,18.3,,97.7,96.5,98.6,,
JOR,2023,87.91999816894531,3.51486315596325,98.2994873290949,91.9696843781763,100.0,12698.0,18039.0,12.0,97.1706496556539,100.0,100.0,100.0,100.0,10.0,4466.08314208575,128.828670856139,1.82791592575342,20.611,-2.1083199279671,837095.0,12.2,,100.0,100.0,100.0,,
JPN,2023,,,102.496421813965,102.344436645508,,,,9.0,,,,,,9.0,33836.1756271617,341.54455749932,4.06819848886964,6.0,-1.80531672569239,9858369.0,1.8,,100.0,100.0,100.0,7655.01641748312,15.0893478025642
KAZ,2023,,4.84984016418457,98.9804493873135,95.2393054334066,,52454.0,40756.0,11.0,103.073237596239,100.0,,100.0,,9.0,12879.4275257974,7.53050487091158,9.52224688275005,20.138,0.651815284378437,7775026.0,7.6,,100.0,100.0,100.0,5145.57131631004,9.50630940746314
